rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
7,667.청량차도 육교 밑,0,0,37.58659363,127.04699707,ST-2267
10,668.서울축산농협(장안지점),42,420,37.56799698,127.06877899,ST-2268
10,669.청계한신휴플러스앞 삼거리,16,160,37.57214737,127.04460907,ST-2269
9,670.삼육서울병원 버스정류장,34,378,37.58968735,127.06140900,ST-2270
10,671.대광빌딩,2,20,37.57734299,127.02337646,ST-2271
17,672.대광고등학교,4,24,37.57875061,127.02402496,ST-2272
10,673.안암골벽산아파트(후문),6,60,37.58407974,127.03103638,ST-2273
15,674.고대앞사거리 교통섬,10,67,37.58655167,127.03314209,ST-2274
9,676.FITI시험연구원 앞,22,244,37.58143234,127.03547668,ST-2276
21,678.장안힐스테이트(아) 앞,80,381,37.57655716,127.07431030,ST-2278
10,679.전농SK아파트 앞,0,0,37.57787704,127.06168365,ST-2279
22,680.꿈마루어린이도서관 앞,4,18,37.59238434,127.05741119,ST-2280
14,681.서울특별시 동부교육지원청(육교),2,14,37.57983780,127.05637360,ST-2281
20,700. KB국민은행 염창역 지점 앞,7,35,37.54684830,126.87277222,ST-308
8,701. 목동사거리 부근,15,188,37.53280258,126.86392975,ST-309
19,702. 목4동주민센터 옆,13,68,37.53254318,126.86872864,ST-310
12,703. 오목교역 7번출구 앞,6,50,37.52362823,126.87524414,ST-311
14,704. 남부법원검찰청 교차로,16,114,37.52325439,126.86490631,ST-312
15,706. 신정네거리역,25,167,37.52188110,126.85175323,ST-313
16,708. 서울출입국관리사무소 앞,34,213,37.51897049,126.86996460,ST-315
20,709. 신정3동 현장민원실 앞,31,155,37.51158524,126.84156036,ST-316
10,710. 금옥여고보도육교,2,20,37.50971222,126.84416962,ST-317
20,711. 신일해피트리아파트 앞,26,130,37.51705933,126.84848785,ST-318
14,712. 강월초교입구 사거리,44,314,37.51699829,126.83831787,ST-319
20,713. 양서중학교 옆,39,195,37.53304672,126.82995605,ST-320
10,714. 한국SGI 양천문화회관 앞,17,170,37.53254700,126.83080292,ST-321
25,716.신정6동 주민센터 인근,49,196,37.51731873,126.86431885,ST-428
10,719. 홍익병원앞 교차로,20,200,37.53036880,126.86425781,ST-431
10,720. 서울강월초등학교 앞,19,190,37.51619720,126.83489990,ST-432
10,722. 경서농협 버스정류장(우리은행신정동지점방향),13,130,37.52151108,126.85738373,ST-993
15,723. SBS방송국,57,380,37.52916336,126.87274933,ST-994
10,724. 계남공원 입구 주출입구 좌측,11,110,37.51068115,126.85739899,ST-995
15,725. 양강중학교앞 교차로,3,20,37.52433395,126.85054779,ST-996
18,726. 목동3단지 시내버스정류장,48,267,37.53438950,126.86959839,ST-997
10,729. 서부식자재마트 건너편,24,240,37.51037979,126.86679840,ST-1000
10,731. 서울시 도로환경관리센터,17,170,37.52989960,126.87654114,ST-1002
10,732. 신월중학교,14,140,37.53955078,126.82830048,ST-1003
10,733. 신정이펜하우스314동,18,180,37.51409912,126.83100128,ST-1004
10,734. 신트리공원 입구,65,650,37.51395035,126.85605621,ST-1005
10,735. 영도초등학교,57,570,37.53637695,126.87151337,ST-1006
10,736. 오솔길공원,14,140,37.52219009,126.83670044,ST-1007
10,737. 장수공원,32,320,37.52256012,126.84947968,ST-1008
15,739. 신월사거리,53,353,37.53620148,126.82779694,ST-1010
10,740. 으뜸공원,28,280,37.53636932,126.83171082,ST-1011
10,741. 화곡로 입구 교차로,8,80,37.53952026,126.82540131,ST-1012
10,742. 등촌역 5번 출구 뒤,21,210,37.55073166,126.86457825,ST-1013
10,743. 현대6차아파트 101동 옆,34,340,37.50889969,126.84268188,ST-1014
10,744. 신목동역 2번 출구,17,170,37.54384232,126.88254547,ST-1015
10,745. 강서초등학교,45,450,37.52228165,126.83969879,ST-1016
10,746. 목동2단지 상가,16,160,37.53650284,126.87774658,ST-1017
10,747. 목동3단지 상가,0,0,37.53458023,126.87564850,ST-1018
15,748. 목동운동장,14,93,37.53025055,126.87930298,ST-1019
10,749. 이대목동병원보도육교,0,0,37.53722763,126.88661194,ST-1350
10,750. 연의근린공원 건너편,27,270,37.51215744,126.83562469,ST-1398
10,752. 성원2차 아파트,14,140,37.54218292,126.86330414,ST-1400
10,754. 목동1단지아파트 118동 앞,25,250,37.54114151,126.87667847,ST-1495
10,755. 목동1단지아파트 상가 앞,23,230,37.53786850,126.88140869,ST-1496
15,756. 목동주차장,6,40,37.52667999,126.87616730,ST-1497
10,757. 신정이펜하우스 1단지아파트 입구 사거리,25,250,37.51427841,126.82874298,ST-1498
