대여소_ID,주소1,주소2,위도,경도
ST-1892,서울특별시 강남구 밤고개로26길 50 강남 한신휴플러스 6단지,,37.468296,127.104698
ST-1891,서울특별시 강남구 세곡동 128-2,,37.464619,127.10685
ST-1890,서울특별시 강남구 세곡동 512-1,,37.463413,127.102264
ST-189,서울특별시 중구 청구로 77 청구역 5.6호선,,37.560474,127.014076
ST-1889,서울특별시 강남구 일원로 81 삼성의료원,,37.490837,127.08065
ST-1888,서울특별시 강남구 광평로 202,,37.484169,127.094849
ST-1887,서울특별시 강남구 봉은사로 110 연우빌딩,,37.504673,127.025795
ST-1886,서울특별시 강남구 대치동 5-3,,37.496895,127.070137
ST-1885,서울특별시 강남구 삼성동 111-86,,37.514309,127.0597
ST-1884,서울특별시 강남구 영동대로 517 아셈타워,,37.513935,127.059822
ST-1883,서울특별시 강남구 선릉로 551 새롬빌딩,,37.507999,127.04525
ST-1882,서울특별시 강남구 도곡동 556,,37.495899,127.052193
ST-1881,서울특별시 강남구 도곡로 401 롯데백화점,,37.496674,127.053429
ST-1880,서울특별시 강남구 언주로30길 21 아카데미스위트,,37.488972,127.051826
ST-188,서울특별시 중구 다산로14길 41,약수어린이공원,37.555859,127.013855
ST-1879,서울특별시 강남구 도곡동 310-2,,37.490959,127.054985
ST-1878,서울특별시 송파구 풍납동 448,,37.524803,127.114639
ST-1877,서울특별시 송파구 장지동 854-3,,37.47916,127.132195
ST-1876,서울특별시 송파구 송파동 166-3,,37.50058,127.118843
ST-1875,서울특별시 송파구 양재대로 1218 올림픽선수기자촌아파트,,37.509975,127.133698
ST-1874,서울특별시 송파구 방이동 181-8,,37.51202,127.128647
ST-1873,서울특별시 송파구 오금동 96,,37.508831,127.134262
ST-1872,서울특별시 송파구 중대로 154 서원주유소,,37.495773,127.12458
ST-1871,서울특별시 송파구 장지동 878-1,,37.47855,127.138138
ST-1870,서울특별시 송파구 오금로 363 오금근린공원,,37.505444,127.132332
ST-187,서울특별시 중구 다산로 지하122,약수역 4번출구 뒤,37.554295,127.0112
ST-1869,서울특별시 송파구 가락동 538,,37.494698,127.104645
ST-1868,서울특별시 송파구 송파대로 521,,37.51157,127.101074
ST-1867,서울특별시 송파구 잠실로 88 레이크팰리스,,37.507759,127.091293
ST-1866,서울특별시 송파구 백제고분로 365 태문빌딩,,37.505505,127.106575
ST-1865,서울특별시 송파구 올림픽로47길 9 쌍용아파트,,37.526814,127.118149
ST-1864,서울특별시 송파구 올림픽로 74 잠실월드메르디앙,,37.511463,127.078812
ST-1863,서울특별시 송파구 장지동 839,,37.486027,127.133698
ST-1862,서울특별시 송파구 잠실로 62 트리지움,,37.511295,127.086739
ST-1861,서울특별시 송파구 장지동 390-4,,37.477211,127.137177
ST-1860,서울특별시 송파구 장지동 917-5,,37.47818,127.147102
ST-186,서울특별시 중구 동호로 지하256,동대입구역 6번출구 뒤,37.558872,127.005539
ST-1859,서울특별시 송파구 백제고분로 275,,37.502644,127.097397
ST-1858,서울특별시 송파구 삼전동 156,,37.497414,127.096306
ST-1857,서울특별시 송파구 방이동 17-2,,37.507866,127.116989
ST-1856,서울특별시 송파구 문정동 492-3,,37.485218,127.115402
ST-1855,서울특별시 송파구 문정동 55-13,,37.486698,127.122444
ST-1854,서울특별시 송파구 송이로31길 52 문정시영아파트,,37.491123,127.135109
ST-1853,서울특별시 송파구 송이로 123 국립경찰병원,,37.495693,127.123856
ST-1852,서울특별시 송파구 가락동 282,,37.495537,127.107201
ST-1851,서울특별시 송파구 백제고분로37길 16 석촌동주민센터,,37.503624,127.103554
ST-1850,서울특별시 강동구 고덕동 299,,37.556789,127.166145
ST-185,서울특별시 중구 서소문로 지하127,시청역(2호선) 9번출구 뒤,37.563229,126.974838
ST-1849,서울특별시 강동구 고덕동 673,,37.5606,127.146698
ST-1848,서울특별시 강동구 성내동 472,,37.528122,127.119522
ST-1847,서울특별시 강동구 양재대로 1650 래미안 솔베뉴,,37.552174,127.144295
ST-1846,서울특별시 강동구 명일동 320-2,,37.550598,127.145454
ST-1845,서울특별시 강동구 명일동 359-4,,37.554569,127.145874
ST-1844,서울특별시 강동구 고덕동 305,,37.560368,127.156593
ST-1843,서울특별시 강동구 둔촌동 산11-5,,37.52956,127.14901
ST-1842,서울특별시 강동구 성내동 산18-4,,37.536999,127.129532
ST-1841,서울특별시 강동구 천호대로 1052 엘웨딩홀,,37.536831,127.128418
ST-1840,서울특별시 강동구 강일동 608-5,,37.561844,127.170845
ST-184,서울특별시 중구 세종대로 110,서울시청 광장,37.484215,126.996292
